Fish,Location,VisitStart,VisitEnd
2770,INNOVATOR,39201.5,39201.6
2770,INNOVATOR,39203.3,39205
2770,INNOVATOR,39206.6,39206.6
2770,INNOVATOR,39266.2,39266.4
2770,MATTERHORN,39212.7,39213.6
2770,MATTERHORN,39214.8,39214.8
2770,MATTERHORN,39216.8,39218.2
2770,MATTERHORN,39220.2,39224.1
2770,MEDUSA,39290.5,39290.5
2771,INNOVATOR,39214,39214
2771,INNOVATOR,39215.9,39215.9
2771,INNOVATOR,39259.9,39262.3
2771,LENA,39232,39232
2771,LENA,39264.1,39267.3
2771,MATTERHORN,39255.6,39256.6
2772,AMBERJACK,39203.3,39203.3
2772,INNOVATOR,39287.2,39287.2
2772,MEDUSA,39206,39206
2772,MEDUSA,39280.3,39280.3
2773,INNOVATOR,39289.7,39289.7
2773,INNOVATOR,39292,39292.7
2773,INNOVATOR,39294.6,39294.7
2773,INNOVATOR,39296.8,39296.9
2773,INNOVATOR,39298.4,39298.8
2773,LENA,39221.3,39222.7
2773,LENA,39228.7,39228.7
2773,MEDUSA,39203,39203
2773,MEDUSA,39204.3,39204.8
2773,MEDUSA,39206,39209.1
2773,MEDUSA,39210.4,39210.4
2773,MEDUSA,39212.8,39213.8
2773,MEDUSA,39214.9,39214.9
2774,AMBERJACK,39225.7,39226
2774,AMBERJACK,39227.3,39227.3
2774,AMBERJACK,39229.2,39230.1
2774,MATTERHORN,39210.9,39210.9
2774,MATTERHORN,39286.8,39288.2
2774,MEDUSA,39278.9,39278.9
2774,MEDUSA,39280.3,39280.3
2775,AMBERJACK,39252.2,39252.2
2775,AMBERJACK,39253.3,39253.3
2775,AMBERJACK,39255.1,39255.8
2775,AMBERJACK,39275.3,39275.3
2775,INNOVATOR,39200.2,39201.4
2775,INNOVATOR,39298,39298
2775,LENA,39210.2,39210.2
2775,LENA,39239.8,39239.8
2775,MATTERHORN,39212,39212.4
2775,MATTERHORN,39223.5,39225.3
2775,MATTERHORN,39232.3,39233.5
2775,MATTERHORN,39235.3,39235.3
2775,MATTERHORN,39236.8,39236.9
2775,MEDUSA,39218.2,39218.7
2775,MEDUSA,39270.7,39270.7
2776,LENA,39236.1,39236.1
2776,LENA,39267.5,39268.8
2776,MATTERHORN,39229,39229.8
2776,MEDUSA,39200.1,39200.1
2776,MEDUSA,39291,39291.8
2776,MEDUSA,39293,39293.7
2777,AMBERJACK,39223.6,39223.6
2777,INNOVATOR,39220.7,39220.7
2777,INNOVATOR,39259,39259
2777,MATTERHORN,39212.7,39216.1
2777,MATTERHORN,39218.5,39218.5
2777,MATTERHORN,39232.6,39233.1
2777,MATTERHORN,39235.5,39235.5
2777,MATTERHORN,39237,39237
2777,MATTERHORN,39238.4,39238.4
2778,AMBERJACK,39229.8,39230.7
2778,LENA,39211.2,39211.2
2778,LENA,39212.3,39212.3
2778,LENA,39245,39245
2779,AMBERJACK,39279,39279
2779,INNOVATOR,39229.2,39229.2
2779,INNOVATOR,39230.4,39230.8
2779,INNOVATOR,39294.9,39294.9
2779,MATTERHORN,39210.9,39210.9
2781,AMBERJACK,39207.6,39207.9
2781,LENA,39291.5,39292.4
